No	TELEX	QNC	CHUNOM	ENG
106	aaps ungs	ấp úng	邑？	to hum and haw, to stammer
107	aaps ur	ấp ủ	挹漚	to nurse, to nurture, to harbour, to cherish, to entertain
108	aats	ất	乙	the second Heaven's Stem
109	aaur	ẩu	嘔	Careless, remiss, lax
110	aaur ddar	ẩu đả	毆打	To have a row, to have a dogfight
111	aaus	ấu	幼	xem củ ấu
112	aaus trix	ấu trĩ	幼稚	Infantile, childish
113	aaus trix vieenz	ấu trĩ viên	幼稚園	(cũ) Kindergarten
114	aaus trungf	ấu trùng	幼蟲	Larva
115	aauz	âu	歐|鷗	Small crock | Dockyard; shipyard | Perhaps, just
116	aauz caz	âu ca	謳歌	(cũ) Sing in chorus the praises
117	aauz chaauz	âu châu	歐洲	Europe
118	aauz hoas	âu hóa	歐化	Europeanize
119	aauz laf	âu là	歐𪜀	(cũ) Would rather
120	aauz phucj	âu phục	歐服	European clothes, European suit
121	aauz saauf	âu sầu	憂愁	Sad, melancholy
122	aauz yeems	âu yếm		To caress, to fondle
123	aayr	ẩy		To thrust
124	aays	ấy	𧘇	That | Like
125	achj	ạch		flump; flop
126	achs	ách	扼|軛|搤|halte	Yoke | To come to a standstill, to be at a standstill | To stop | Having a bloated (blown up) stomach, feeling bloated (blown up)
127	acs	ác	𪅴？|惡|握	Crow, raven | (cũ) The sun | Cruel, malicious | Severe, fierce | Ripping, rattling good
128	acs bas	ác bá	惡霸	Cruel landlord, village tyrant
129	acs camr	ác cảm	惡感	Antipathy, aversion, enmity, bad blood, ill feeling
130	acs chieens	ác chiến	惡戰	To fight violently, to fight fiercely
131	acs khaaur	ác khẩu	惡口	như {ác miệng}
132	acs laf	ác là	𪅴？	Magpie
133	acs lieetj	ác liệt	惡劣	Very fierce, very violent
134	acs mieengj	ác miệng	惡𠰘	Foul | mouthed, foul | tongued
135	acs moongj	ác mộng	惡夢	Nightmare
136	acs mooz niz caz	ác mô ni ca	Harmonica	Mouth | organ
137	acs mos	ác mó	𪅴𪃏	Parrot | Shrew, termagant
138	acs nghieetj	ác nghiệt	惡孽	Cruel, venomous, harsh, spiteful
139	acs oonz	ác ôn	惡瘟	Enemy | hired killer, wicked thug | Ruffianly, thug | like
140	acs phuj	ác phụ	惡婦	wicked woman
141	acs quyr	ác quỷ	惡鬼	Demon, fiend
142	acs taamz	ác tâm	惡心	Malice, malignity, ill will
143	acs taf	ác tà	𪅴斜	sunset, declining sun
144	acs thus	ác thú	惡獸	Beast of prey
145	acs tinhs	ác tính	惡性	Malign, malignant
146	acs ys	ác ý	惡意	Malice, malignity, ill will
147	af	à		Oh! (exclamation of surprise) | By the way
148	af uoomz	à uôm		To lump together
149	air	ải	隘	Pass | Hurdle, ordeal, trial | Rotten | Aerated and loose
150	air quanz	ải quan	隘關	Frontier pass
151	ais	ái		Oh! Ah! (exclamation of pain or surprise)
152	ais aanz	ái ân	愛恩	Tender love, conjugal affection, passion | To live in conjugal affection
153	ais chaf	ái chà		Oh! Ha!
154	ais huwux	ái hữu	愛友	Friendly society, guild
155	ais khanhz	ái khanh	愛卿	My darling; my dear
156	ais luwcj	ái lực	愛力	Affinity
157	ais mooj	ái mộ	愛慕	To attach; to feel attach to
158	ais namz ais nuwx	ái nam ái nữ	愛男愛女	Hermaphroditic, bisexual, androgynous
159	ais ngaij	ái ngại	愛？	To feel compassion for
160	ais nhix lanz	ái nhĩ lan	愛爾蘭	Ireland
161	ais nuwx	ái nữ	愛女	Daughter
162	ais phiz	ái phi	愛妃	favorite queen
163	ais quoocs	ái quốc	愛國	To be a patriot, to love one's country
164	ais tinhf	ái tình	愛情	Love, passion
165	aiz	ai	埃	Who, whom, someone, somebody, anyone, anybody
166	aiz aiz	ai ai	埃埃	Everyone, everybody
167	aiz ddieeus	ai điếu	哀弔	eulogy; condolence
168	aiz ddowif	ai đời		Fancy
169	aiz naays	ai nấy	埃？	each and all, one and all
170	aiz oans	ai oán	哀怨	Plaintive
171	aj	ạ		
172	amr ddamj	ảm đạm	黯淡	Gloomy, dreary, sombre
173	ams	ám	暗	Thick fish soup flavoured with herbs | To possess | To annoy, to worry | To darken, to stain, to obscure
174	ams anhr	ám ảnh	暗影	To obsess, to haunt | Haunting worry, obsession
175	ams chir	ám chỉ	暗指	To insinuate, to allude to, to hint (at)
176	ams haij	ám hại	暗害	To attempt the life of
177	ams hieeuj	ám hiệu	暗號	Secret signal, coded signal
178	ams muooij	ám muội	暗昧	Shady, dubious, underhand, sinister
179	ams sats	ám sát	暗殺	To assassinate
180	ams tar	ám tả	暗寫	Dictation
181	ams thij	ám thị	暗示	To hint, to insinuate, to suggest | To insinuate by suggestion
182	amz	am	庵	Small temple, small pagoda; hermitage, secluded hut
183	amz hieeur	am hiểu	諳曉	To realize; to know inside out; to have a good command of ; to know like the back of one's hand; to have a thorough knowledge of; to be expert in (at,on) ; to be well | informed about, to be familiar with
184	amz pez	am pe	Ampere	Ampere
185	angs	áng		Fleece (of cloud), remarkable piece (of literary work), a glorious period (of war) | To make a rough estimate
186	angs chuwngf	áng chừng	？澄	Approximately
187	angz	ang		crock; container for areca | nuts and betel
188	angz angs	ang áng		about; approximately
189	anhr	ảnh	影	Image | Photograph, picture
190	anhr aor	ảnh ảo	影幻	Virtual image
191	anhr huwowngr	ảnh hưởng	影響	Influence, effect, impact
192	anhr luwar	ảnh lửa	影焒	fire | light
193	anhs	ánh	映|暎	Clove | Light, glare | Lustre
194	anhs ddenf	ánh đèn	暎畑	lamplight
195	anhs nawngs	ánh nắng	暎𣌝	sunlight; sunshine
196	anhs sangs	ánh sáng	暎𤏬	Light
197	anhz	anh	英|嬰	Elder brother | First cousin, cousin german (son of one's father's or mother's elder brother or sister)
198	anhz achs	anh ách		xem ách
199	anhz anhs	anh ánh	？暎	Gleaming, glimmerring
200	anhz chij	anh chị	偀姉	Ringleader, chieftain
201	anhz ddaof	anh đào	櫻桃	Cherry
202	anhz dungx	anh dũng	英勇	Of great fortitude
203	anhz emz	anh em	偀㛪	Brothers, siblings | Mates, comrades
204	anhz hungf	anh hùng	英雄	Hero | Heroic, hero | like
205	anhz hungf caz	anh hùng ca	英雄歌	Epic, saga
206	anhz hungf chur nghiax	anh hùng chủ nghĩa	英雄主義	Characteristic of self | seeking heroism, adventurous, reckless
207	anhz linhz	anh linh	英靈	Hallowed memory (of a deceased person)
208	anhz minhz	anh minh	英明	Clear | sighted and able
209	anhz nuooiz	anh nuôi	偀𩝺	Male cook
210	anhz quaanz	anh quân	英君	Clear | sighted and able monarch
211	anhz taif	anh tài	英才	Luminary, outstanding talent
212	anhz thuwz	anh thư	英雌	Heroine
213	anhz tuaans	anh tuấn	英俊	Eminent person
214	ans	án	按|案	High and narrow table | Case | Sentence | To obstruct, to block the way
215	ans mangj	án mạng	案命	Murder
216	ans nguwx	án ngữ	按禦	To obstruct the access into
217	ans phis	án phí	案費	Legal costs, law expenses
218	ans sats	án sát	按察	Feudal provincial mandarin in charge of criminal cases
219	ans thuwz	án thư	案書	High and narrow table
220	ans treoz	án treo	案？	Suspended sentence
221	ans tuwr hinhf	án tử hình	案死刑	death | sentence; death penalty
222	anz	an	安|氨	Safe, secure
223	anz baif	an bài	安排	To preordain, to foreordain, to predestine
224	anz baz niz	an ba ni	Albania	(Greogr) Albania
225	anz cuwz	an cư	安居	to live in peace
226	anz duwowngx	an dưỡng	安養	To convalesce
227	anz giaacs	an giấc	安聀	To sleep soundly
228	anz huwowngr	an hưởng	安享	To enjoy peacefully, to spend peacefully
229	anz khangz	an khang	安康	xem khang an
230	anz namz	An Nam	安南	Vietnam was named An Nam under the Chinese and French dominations
231	anz nghir	an nghỉ	安𠉝	To rest in peace and quiet
232	anz nhanf	an nhàn	安閑	Leisured, leisurely
233	anz ninhz	an ninh	安寧	Security
234	anz phaanj	an phận	安分	To feel smug
235	anz taamz	an tâm	安心	xem yên tâm
236	anz tangs	an táng	安葬	To bury
237	anz thaanf	an thần	安神	To act as a tranquillizer
238	anz toaj	an toạ	安坐	To take a seat, to be seated
239	anz toanf	an toàn	安全	Safe
240	anz tris	an trí	安置	To banish, to exile
241	anz uir	an ủi	安慰	To comfort, to console
242	anz vij	an vị	安位	To be seated, to be in one's seat
243	aof	ào	𠯻	Impetuously | To rush
244	aof aof	ào ào	𠯻𠯻	Impetuous
245	aof atj	ào ạt	𠯻？	Impetuous, vehement
246	aor	ảo	幻|拗	Illusive, illusory | Imaginary
247	aor anhr	ảo ảnh	幻影	Illusion, phantasm, phantom | Mirage
248	aor giacs	ảo giác	幻覺	Illusion, optical illusion | Fancy, fantasy
249	aor moongj	ảo mộng	幻夢	Fantastic dream, day | dream, castle in the air
250	aor naox	ảo não	懊恼	Doleful, pathetic, plaintive
251	aor thij	ảo thị	幻視	Optical illusion
252	aor thuaatj	ảo thuật	幻術	Prestidigitation, legerdemain, jugglery
253	aor tuwowngj	ảo tượng	幻象	Mirage
254	aor tuwowngr	ảo tưởng	幻想	Fancy, illusion, fantastic notion, day | dream
255	aor vongj	ảo vọng	幻望	Fantastic hope, fantastic wish
256	aos	áo	襖|奧|澳	(địa lý) Austria | Jacket, coat, tunic, dress, gown | Case, wrapping | Crust, coat | Cloak, cover
257	aos canhs	áo cánh	襖𦑃	Short jacket
258	aos choangf	áo choàng	襖？	Overcoat, gown
259	aos daif	áo dài	襖𨱽	Glowing tunic, dress
260	aos giaps	áo giáp	襖甲	Armour
261	aos goois	áo gối	襖？	pillow | case
262	aos khachs	áo khách	襖客	Chinese | styled jacket
263	aos khoacs	áo khoác	襖？	Overcoat
264	aos las	áo lá	襖𦲿	Undervest | Palm | leaf raincoat | leaf | dress
265	aos lawnj	áo lặn	襖？	Diving | suit, diving | dress
266	aos lots	áo lót	襖？	Vest, undervest
267	aos muwaz	áo mưa	襖𩄎	Waterproof, raincoat, mackintosh
268	aos ngur	áo ngủ	襖𥄬	night | dress
269	aos quaanf	áo quần	襖裙	Như quần áo
270	aos quanz	áo quan	襖棺	Coffin
271	aos sowz miz	áo sơ mi	襖Chemise	shirt
272	aos tees	áo tế	襖祭	Ritual robe
273	aos thungj	áo thụng	襖？	Large | sleeved ceremonial robe
274	aos towiz	áo tơi	襖？	Palm | leaf raincoat | leaf | dress
275	aos traans thur	áo trấn thủ	襖鎮守	Padded cotton waistcoat
276	aos veej sinhz	áo vệ sinh	襖衛生	Cotton sweater
277	aoz	ao	凹|坳	Pond | To measure roughly, to measure approximately
278	aoz uwowcs	ao ước	？約	To wish for, to long for, to crave for
279	aps	áp	壓|押|鴨|閘	To press against, to stand against | To affix | To be next to, to be close to
280	aps buwcs	áp bức	壓逼	To oppress | oppression
281	aps chaor	áp chảo	壓？	Half | fried, saute
282	aps chees	áp chế	壓制	To tyrannize, to persecute
283	aps ddaor	áp đảo	壓倒	To overwhelm, to overpower
284	aps ddawtj	áp đặt	壓？	To impose, to force on
285	aps dungj	áp dụng	壓用	To apply, to put into practice, to put into application
286	aps giair	áp giải	押解	To escort, to conduct under escort
287	aps luwcj	áp lực	壓力	Pressure
288	aps suaats	áp suất	壓率	Pressure
289	aps tair	áp tải	押載	To convoy
290	aps towis	áp tới	壓細	to dash forward
291	ar	ả	妸	Lass
292	ar ddaof	ả đào	妸陶	Singsong girl, geisha
293	ar giangz hoof	ả giang hồ	妸江湖	prostitute, | street | walker
294	as	á	啞|亞	Aah! Oof(expression of suffering) | Asia | Asian, Asiatic
295	as khaaur	á khẩu	啞口	aphasia
296	as khooiz	á khôi	亞魁	the second winner in a contest
297	as kimz	á kim	亞金	Metalloid
298	as raapj	á rập	Arab	Arabia
299	as-cawnz-ddinhf	á-căn-đình	Argentin	Argentina, the Argentine
300	ats	át		To drown
301	auz	au		Bright and cheerful
302	awcs quiz	ắc qui	accumulateur	battery
303	awmx	ẵm		To carry in one's arms
304	awmz awps	ăm ắp		Overbrimmed
305	awngr	ẳng		To yelp
306	awngr awngr	ẳng ẳng		(of a dog) to yap; to yelp
307	awngs hongj	ắng họng		To remain silent, to be silenced
308	awnz	ăn	咹	To eat, to feed, to take, to have
309	awnz baanj	ăn bận	咹𦁂	To dress
310	awnz bams	ăn bám	咹？	To sponge on, to live on
311	awnz boocs	ăn bốc	咹？	to eat with the fingers
312	awnz bowts	ăn bớt	咹𣼪	To take stealthy rake off, to get pickings, to appropriate part of profits
313	awnz canhs	ăn cánh	咹𦑃	To be in collusion with, to be in confederacy with, to be in cahoots with, to be hand in glove with
314	awnz cas	ăn cá	咹𩵜	to win a bet
315	awnz cawps	ăn cắp	咹𢲩	To steal, to filch, to pilfer
316	awnz chawcs	ăn chắc	咹𢟘	to be on sure
317	awnz chawnj	ăn chặn	咹？	To appropriate part of
318	awnz chayz	ăn chay	咹？	To keep a vegetarian diet
319	awnz chetj	ăn chẹt	咹？	To take unfair advantage of
320	awnz chowiz	ăn chơi	咹𨔈	To indulge in dissipation, to sink in depravity, to live a debauched life, to lead a life of debauchery
321	awnz coox	ăn cỗ	咹？	to feast; to attend a banquet
322	awnz cowmz	ăn cơm	咹𩚵	to have a meal; to take a meal
323	awnz cowmz thangs	ăn cơm tháng	咹𩚵𣎃	to board
324	awnz cuwowis	ăn cưới	咹？	to participate in a wedding banquet;to attend a wedding
325	awnz cuwowps	ăn cướp	咹？	To rob
326	awnz daz	ăn da	咹䏧	Caustic
327	awnz ddongz	ăn đong	咹？	To live from hand to mouth
328	awnz dduwowngf	ăn đường	咹塘	To use as travel provisions, to spend during travel
329	awnz dduwts	ăn đứt	咹？	To prevail over, to get the better of
330	awnz dieenj	ăn diện	咹面	To be stylish, to dress smartly
331	awnz giair	ăn giải	咹？	to win a prize
332	awnz gianz	ăn gian	咹奸	To cheat
333	awnz gias	ăn giá	咹價	To strike a bargain, to come to terms
334	awnz gioox	ăn giỗ	咹？	to celebrate the anniversary of someone's death
335	awnz haij	ăn hại	咹害	To eat one's head off, to live as a parasite
336	awnz hieeps	ăn hiếp	咹脅	To bully, to tyrannize
337	awnz hoaz hoongf	ăn hoa hồng	咹花紅	to receive a commission
338	awnz hocj	ăn học	咹學	To study
339	awnz hoir	ăn hỏi	咹𠳨	To propose ritually (with an offering to the girl's parents)
340	awnz hoois looj	ăn hối lộ	咹賄賂	to take a bribe
341	awnz khoongz	ăn không	咹空	To live in idleness | To appropriate, to trick out of
342	awnz khowps	ăn khớp	咹？	To fit | To tally, to fit in with
343	awnz kieengz	ăn kiêng	咹？	to be on a diet
344	awnz laix	ăn lãi	咹？	to make profits
345	awnz lamf	ăn làm	咹爫	To work for one's living
346	awnz lanz	ăn lan	咹？	to enlarge; to spread
347	awnz lowif	ăn lời	咹𠳒	To obey, to take advice of | To go back upon one's word
348	awnz luwowngz	ăn lương	咹糧	to receive one's salary
349	awnz manhr	ăn mảnh	咹？	To work stealthily for one's own profits
350	awnz mawcj	ăn mặc	咹？	To dress
351	awnz mawnj	ăn mặn	咹？	To eat meat
352	awnz mayf	ăn mày	咹𠋥	To beg (for a living, for aid..) | Beggar
353	awnz monf	ăn mòn	咹？	To eat away, to corrode, to erode
354	awnz muwngf	ăn mừng	咹𢜠	To celebrate (with feasts and rejoicings)
355	awnz nawmf	ăn nằm	咹𦣰	To be lodged, to be accommodated | To live as man and wife, to sleep together
356	awnz nawnz	ăn năn	咹？	To repent, to show repentance (remorse, penitence), to eat humble pie
357	awnz nguwowif	ăn người	咹𠊛	to gain advantage over others by one's wits, to get the better of others by one's wits
358	awnz nhipj	ăn nhịp	咹？	To be in tune
359	awnz nois	ăn nói	咹呐	to speak, to say, to express oneself
360	awnz owr	ăn ở	咹扵	to be accommodated, to be housed | to conduct oneself, to behave
361	awnz quitj	ăn quịt	咹？	to eat without paying; to evade paying
362	awnz rooix	ăn rỗi	咹？	to devour voraciously
363	awnz soongs	ăn sống	咹𤯩	to eat uncooked food
364	awnz suwowngz	ăn sương	咹霜	To be a night | bird, to walk the streets
365	awnz tapj	ăn tạp	咹雜	to gobble
366	awnz teets	ăn tết	咹節	to celebrate the New Year
367	awnz thamz	ăn tham	咹貪	greedy ; gluttonous
368	awnz theef	ăn thề	咹誓	To take oath, to swear brotherhood (loyaltỵ..)
369	awnz thuaz	ăn thua	咹？	To play for the vanity of winning | To make it, to succeed
370	awnz thuwaf	ăn thừa	咹剩	to eat remains
371	awnz thuwr	ăn thử	咹試	to sample food, to taste
372	awnz tieecj	ăn tiệc	咹𥱊	to attend a banquet; to feast
373	awnz tieenf	ăn tiền	咹錢	To take bribes | To bring good results
374	awnz tieeuz	ăn tiêu	咹消	To spend money
375	awnz troomj	ăn trộm	咹？	To steal, to burgle
376	awnz uoongs	ăn uống	咹㕵	To eat and drink | To give feasts, to entertain lavishly
377	awnz vaj	ăn vạ	咹？	To stage a sit | down (until one's debt is paid..)
378	awnz vax	ăn vã	咹？	To eat without rice
379	awnz vungj	ăn vụng	咹？	to eat stealthily; to eat on the sly
380	awnz xens	ăn xén	咹？	to graft
381	awnz xinz	ăn xin	咹吀	To beg
382	awnz xooir	ăn xổi	咹？	To eat (consume) prematurely | To be impatient for result
383	awnz ys	ăn ý	咹意	To be in agreement (in harmony) with one another, to sympathize with one another | Acting harmoniously, acting in perfect teamwork
384	awps	ắp		Full to the brim, brimful, brimfull
385	awts	ắt	𢖮	Surely, certainly
386	awts laf	ắt là	𢖮𪜀	Surely, certainly
387	ays	áy		Withered (nói về cỏ)
388	ays nays	áy náy		(To feel) uneasy
389	az	a	阿|呵	O; oh (exclamation of surprise, regret, ect.) | By the way | Acre (100 square meters)
390	az duaz	a dua	阿諛	To ape, to chime in, to join in, to take a leaf out of sb's book
391	az haz	a ha		Aha, ha; hurrah, hurray
392	az hoanf	a hoàn	丫鬟	Abigail ; maidservant
393	az phieens	a phiến	阿片	Opium
394	az tongf	a tòng	阿從	To act as (be) an accomplice to someone, to act as (be) an accessory to someone, to make common cause with someone
395	baacj	bậc	堛	Step, rung (of a ladder) | Grade, class, degree, level
396	baacj cuwar	bậc cửa	堛𨷶	Threshold (of a door)
397	baacj thaayf	bậc thầy	堛偨	Masterly, master
398	baacs	bấc	苝|𫕡	Rush | Wick (made of rush pith or other spongy material) | Pith | North | easterly monsoon, north | easter
399	baamf	bầm		(cũ) Mama | bluish black
400	baamj	bậm		(nói về cây hoặc bộ phận của cây). Fat and sappy | (ít dùng) Fat and firm
401	baamr	bẩm	稟	To refer (to higher level) | Sir
402	baamr baos	bẩm báo	稟報	To report and refer to higher level
403	baamr chaats	bẩm chất	稟質	Nature, inborn trait
404	baamr sinhz	bẩm sinh	稟生	Innate, inborn
405	baamr tinhs	bẩm tính	稟性	Innate character
406	baams	bấm	檁	Press, touch, feel | Cling with
407	baams bungj	bấm bụng	檁䏾	To endure silently, to suppress | To reckon to oneself
408	baams chuoongz	bấm chuông	檁？	to ring the bell
409	baams ddoonj	bấm độn	檁？	To predict by thumbing one's phalanges
410	baams ganz	bấm gan	檁肝	To suppress one's anger silently
411	baams giowf	bấm giờ	檁𣇞	To time | To tell days of good or bad omen
412	baams ngonj	bấm ngọn	檁？	Pinch off buds (shoot) of
413	baams nuts	bấm nút	檁？	Press the button
414	baams quer	bấm quẻ	檁？	(từ cũ, nghĩa cũ) như bấm độn
415	baams tayz	bấm tay	檁𢬣	(ít dùng) như bấm đốt
416	baamx	bẫm		Plentiful | Fat (profit..)
417	baanf	bần	貧	Cork | Poor
418	baanf baatj	bần bật		Tremulous
419	baanf bachs	bần bách	貧迫	Very poor; in reduced circumstances
420	baanf coos	bần cố	貧雇	thành phần bần cố Poor peasant and farm hand stock
421	baanf coos noongz	bần cố nông	貧雇農	Poor peasants and farm hands
422	baanf cungf	bần cùng	貧窮	Destitude, abjectly poor | Driven to extremity
423	baanf cungf hoas	bần cùng hóa	貧窮化	Impoverish to the utmost, pauperize
424	baanf ddaoj	bần đạo	貧道	This humble hermit
425	baanf hanf	bần hàn	貧寒	Destitute
426	baanf huyeets	bần huyết	貧血	Anaemia
427	baanf noongz	bần nông	貧農	Poor peasant, land | hungry peasant
428	baanf six	bần sĩ	貧士	This humble scholar
429	baanf tawngz	bần tăng	貧僧	This humble monk, this humble bonze
430	baanf thaanf	bần thần		Haggard, worried
431	baanf tieenj	bần tiện	貧賤	Poor, poverty | stricken | Mean, ignoble
432	baangz khuaangz	bâng khuâng		Dazed with longing (grief...)
433	baangz quowz	bâng quơ		Vague
434	baanj	bận	𦁂	Time | To put on, to wear | Over head and ears in, busy, engaged | Worried, causing worries
435	baanj biuj	bận bịu	𦁂？	adj & vẻb | (To be) busy
436	baanj longf	bận lòng	𦁂𢚸	worried; anxious
437	baanj taamz	bận tâm	𦁂心	Worry, be worried; be disturbed
438	baanr	bẩn		Dirty, mean
439	baanr chaatj	bẩn chật		to be in want
440	baanr minhf	bẩn mình	？𨉟	To have menses
441	baanr thaanr baanf thaanf	bẩn thẩn bần thần		xem bần thần (láy)
442	baanr thiur	bẩn thỉu		Dirty, mean
443	baans	bấn	擯	Hard pressed | Flustering, pothering (because of too much work)
